"Date","Infected","Death"
2020-03-02,1,0
2020-03-03,2,0
2020-03-04,11,0
2020-03-05,23,0
2020-03-06,31,0
2020-03-07,76,0
2020-03-08,106,0
2020-03-09,142,0
2020-03-10,150,0
2020-03-11,220,1
2020-03-12,327,1
2020-03-13,421,2
2020-03-14,613,5
2020-03-15,615,10
2020-03-16,967,21
2020-03-17,1578,35
2020-03-18,3038,60
2020-03-19,5704,92
2020-03-20,8403,147
2020-03-21,11727,195
2020-03-22,15800,287
2020-03-23,20884,387
2020-03-24,25681,514
2020-03-25,30841,663
2020-03-26,37877,912
2020-03-27,44876,1227
2020-03-28,52410,1601
2020-03-29,59648,2031
2020-03-30,66663,2585
2020-03-31,75833,3244
2020-04-01,83948,3976
2020-04-02,92506,4813
2020-04-03,102987,5519
2020-04-04,113833,6110
2020-04-05,123160,6932
2020-04-06,131815,7962
2020-04-07,139875,9043
2020-04-08,151061,10028
2020-04-09,161779,11001
2020-04-10,172348,11850
2020-04-11,181026,12777
2020-04-12,189033,13752
2020-04-13,195749,14730
2020-04-14,203020,15612
2020-04-15,214454,16398
2020-04-16,223691,17140
2020-04-17,230597,18190
2020-04-18,237474,19236
2020-04-19,243382,19105
2020-04-20,248416,19724
2020-04-21,253519,20351
2020-04-22,258222,20866
2020-04-23,263460,21523
2020-04-24,271590,22076
2020-04-25,282143,22511
2020-04-26,288045,22917
2020-04-27,291996,23399
2020-04-28,295106,23734
2020-04-29,299691,24180
2020-04-30,304372,24552
2020-05-01,308314,24921
2020-05-02,312977,25211
2020-05-03,316415,25495
2020-05-04,318953,25848
2020-05-05,321192,26130
2020-05-06,323978,26699
2020-05-07,327469,26928
2020-05-08,330407,27245
2020-05-09,333122,27466
2020-05-10,335395,27640
2020-05-11,337055,27838
2020-05-12,338485,28055
2020-05-13,340661,28259
2020-05-14,343051,28420
2020-05-15,345813,28685
2020-05-16,348232,28857
2020-05-17,350121,28983
2020-05-18,351371,29070
2020-05-19,352845,29271
2020-05-20,354370,29389
2020-05-21,356458,29479
2020-05-22,358154,29582
2020-05-23,359926,29771
2020-05-24,361515,29856
2020-05-25,362764,29955
2020-05-26,363836,30015
2020-05-27,364965,30201
2020-05-28,366733,30235
2020-05-29,368284,30342
2020-05-30,369660,30429
2020-05-31,370770,30489
2020-06-01,371711,30623
2020-06-02,373040,30676
2020-06-03,374085,30734
2020-06-04,375133,30863
2020-06-05,376208,30925
2020-06-06,377316,30974
2020-06-07,378097,31068
2020-06-08,378799,31123
2020-06-09,379482,31158
2020-06-10,380156,31238
2020-06-11,380892,31269
2020-06-12,381714,31423
2020-06-13,382630,31441
2020-06-14,383324,31468
2020-06-15,383944,31498
2020-06-16,384575,31553
2020-06-17,385142,31579
2020-06-18,385760,31603
2020-06-19,386556,31624
2020-06-20,387272,31703
2020-06-21,387936,31739
2020-06-22,388488,31773
2020-06-23,389085,31835
2020-06-24,389666,31862
2020-06-25,390415,31903
2020-06-26,391220,31921
2020-06-27,391923,31938
2020-06-28,392539,31943
2020-06-29,392930,31961
2020-06-30,393454,32032
2020-07-01,394079,32043
2020-07-02,394954,32064
2020-07-03,395872,32137
2020-07-04,396598,32157
2020-07-05,397131,32206
2020-07-06,397649,32219
2020-07-07,398237,32243
2020-07-08,398929,32251
2020-07-09,399513,32283
2020-07-10,400299,32331
2020-07-11,401029,32343
